,tweet_id,favorite_count,retweet_count
0,892420643555336193,37692,8213
1,892177421306343426,32377,6074
2,891815181378084864,24379,4016
3,891689557279858688,41010,8370
4,891327558926688256,39207,9074
5,891087950875897856,19712,3010
6,890971913173991426,11529,1989
7,890729181411237888,63577,18249
8,890609185150312448,27094,4133
9,890240255349198849,31072,7133
10,890006608113172480,29883,7093
11,889880896479866881,27082,4817
12,889665388333682689,46828,9715
13,889638837579907072,26403,4384
14,889531135344209921,14724,2178
15,889278841981685760,24582,5201
16,888917238123831296,28361,4358
17,888804989199671297,24883,4139
18,888554962724278272,19310,3423
19,888078434458587136,21186,3374
20,887705289381826560,29409,5209
21,887517139158093824,45072,11327
22,887473957103951883,67147,17577
23,887343217045368832,32791,10097
24,887101392804085760,29780,5771
25,886983233522544640,34205,7522
26,886736880519319552,11730,3165
27,886680336477933568,21854,4320
28,886366144734445568,20636,3098
29,886267009285017600,116,4
30,886258384151887873,27272,6099
31,886054160059072513,0,105
32,885984800019947520,31764,6558
33,885528943205470208,35035,6220
34,885518971528720385,19910,3631
35,885311592912609280,0,17966
36,885167619883638784,21340,4246
37,884925521741709313,75325,17676
38,884876753390489601,27169,5441
39,884562892145688576,23643,4542
40,884441805382717440,26303,5486
41,884247878851493888,71026,19874
42,884162670584377345,19833,2886
43,883838122936631299,21327,3338
44,883482846933004288,44722,9623
45,883360690899218434,22096,3594
46,883117836046086144,36178,6456
47,882992080364220416,23319,3804
48,882762694511734784,27563,4749
49,882627270321602560,27205,5908
50,882268110199369728,43761,11239
51,882045870035918850,28578,4801
52,881906580714921986,23688,3295
53,881666595344535552,49285,10356
54,881633300179243008,124,7
55,881536004380872706,48148,15483
56,881268444196462592,22516,5029
57,880935762899988482,16615,2701
58,880872448815771648,20713,3713
59,880465832366813184,27790,6091
60,880221127280381952,26329,4092
61,880095782870896641,26924,4210
62,879862464715927552,21772,3392
63,879674319642796034,302,10
64,879492040517615616,22837,3084
65,879415818425184262,103124,43017
66,879376492567855104,16376,3019
67,879130579576475649,0,6612
68,879050749262655488,21970,4567
69,879008229531029506,18512,2614
70,878776093423087618,18934,4006
71,878604707211726852,29457,6992
72,878404777348136964,0,1250
73,878316110768087041,0,6460
74,878281511006478336,7546,1250
75,878057613040115712,40988,6612
76,877736472329191424,77727,18549
77,877611172832227328,0,78
78,877556246731214848,22167,3694
79,877316821321428993,26728,5049
80,877201837425926144,26465,5432
